==> Resuming from checkpoint...
==> Training...
Batch: 0, Avg: 2.3182623386383057
Epoch: 2 | Val acc: 22.220:   0%|          | 0/198 [00:00<?, ?it/s]





Batch Idx: (46/900) | Loss: 2.057 | Acc: 23.872% (561/2350): : 47it [00:11,  4.06it/s]






Batch Idx: (93/900) | Loss: 2.068 | Acc: 22.851% (1074/4700): : 94it [00:23,  3.99it/s]







Batch Idx: (149/900) | Loss: 2.058 | Acc: 23.333% (1750/7500): : 150it [00:37,  4.01it/s]






Batch Idx: (196/900) | Loss: 2.054 | Acc: 23.310% (2296/9850): : 197it [00:50,  3.73it/s]






Batch Idx: (244/900) | Loss: 2.052 | Acc: 23.290% (2853/12250): : 245it [01:02,  4.01it/s]






Batch Idx: (290/900) | Loss: 2.054 | Acc: 23.388% (3403/14550): : 291it [01:13,  3.98it/s]







Batch Idx: (347/900) | Loss: 2.052 | Acc: 23.293% (4053/17400): : 348it [01:27,  4.03it/s]






Batch Idx: (395/900) | Loss: 2.050 | Acc: 23.328% (4619/19800): : 396it [01:39,  4.01it/s]






Batch Idx: (444/900) | Loss: 2.049 | Acc: 23.353% (5196/22250): : 445it [01:52,  3.98it/s]







Batch Idx: (500/900) | Loss: 2.049 | Acc: 23.297% (5836/25050): : 501it [02:06,  4.02it/s]






Batch Idx: (547/900) | Loss: 2.050 | Acc: 23.226% (6364/27400): : 548it [02:17,  4.02it/s]






Batch Idx: (595/900) | Loss: 2.050 | Acc: 23.144% (6897/29800): : 596it [02:29,  3.99it/s]






Batch Idx: (644/900) | Loss: 2.050 | Acc: 23.082% (7444/32250): : 645it [02:42,  4.00it/s]






Batch Idx: (692/900) | Loss: 2.049 | Acc: 23.079% (7997/34650): : 693it [02:54,  4.02it/s]







Batch Idx: (748/900) | Loss: 2.049 | Acc: 22.993% (8611/37450): : 749it [03:08,  4.01it/s]






Batch Idx: (797/900) | Loss: 2.048 | Acc: 23.093% (9214/39900): : 798it [03:20,  4.02it/s]






Batch Idx: (843/900) | Loss: 2.047 | Acc: 23.147% (9768/42200): : 844it [03:32,  4.00it/s]






Batch Idx: (891/900) | Loss: 2.047 | Acc: 23.184% (10340/44600): : 892it [03:44,  4.00it/s]
Batch Idx: (899/900) | Loss: 2.047 | Acc: 23.193% (10437/45000): : 900it [03:46,  4.02it/s]



Batch Idx: (77/100) | Loss: 2.030 | Acc: 24.205% (944/3900): : 78it [00:06, 12.69it/s]
Epoch: 3 | Val acc: 23.760:   1%|          | 1/198 [03:54<12:49:06, 234.25s/it]1.33it/s]
0it [00:00, ?it/s]






Batch Idx: (47/900) | Loss: 2.031 | Acc: 24.000% (576/2400): : 48it [00:12,  3.50it/s]






Batch Idx: (94/900) | Loss: 2.026 | Acc: 23.916% (1136/4750): : 95it [00:24,  3.89it/s]







Batch Idx: (145/900) | Loss: 2.027 | Acc: 23.932% (1747/7300): : 146it [00:37,  3.84it/s]







Batch Idx: (198/900) | Loss: 2.025 | Acc: 24.291% (2417/9950): : 199it [00:52,  3.82it/s]






Batch Idx: (244/900) | Loss: 2.030 | Acc: 24.114% (2954/12250): : 245it [01:04,  3.78it/s]







