==> Building model / ...
==> Training...
Batch: 0, Avg: 2.292454957962036
Epoch: 0:   0%|          | 0/200 [00:00<?, ?it/s]





Batch Idx: (45/900) | Loss: 2.389 | Acc: 10.957% (252/2300): : 46it [00:11,  3.84it/s]






Batch Idx: (93/900) | Loss: 2.379 | Acc: 10.255% (482/4700): : 94it [00:23,  4.00it/s]







Batch Idx: (149/900) | Loss: 2.375 | Acc: 10.280% (771/7500): : 150it [00:37,  3.97it/s]






Batch Idx: (197/900) | Loss: 2.371 | Acc: 10.152% (1005/9900): : 198it [00:50,  3.95it/s]






Batch Idx: (245/900) | Loss: 2.367 | Acc: 9.911% (1219/12300): : 246it [01:02,  3.99it/s]







Batch Idx: (299/900) | Loss: 2.361 | Acc: 9.927% (1489/15000): : 300it [01:15,  3.96it/s]






Batch Idx: (346/900) | Loss: 2.357 | Acc: 9.764% (1694/17350): : 347it [01:27,  3.92it/s]






Batch Idx: (394/900) | Loss: 2.351 | Acc: 9.696% (1915/19750): : 395it [01:39,  3.98it/s]







Batch Idx: (450/900) | Loss: 2.346 | Acc: 9.747% (2198/22550): : 451it [01:54,  3.67it/s]






Batch Idx: (497/900) | Loss: 2.342 | Acc: 9.715% (2419/24900): : 498it [02:06,  3.97it/s]






Batch Idx: (543/900) | Loss: 2.340 | Acc: 9.688% (2635/27200): : 544it [02:17,  3.95it/s]







Batch Idx: (597/900) | Loss: 2.336 | Acc: 9.726% (2908/29900): : 598it [02:32,  3.77it/s]






Batch Idx: (643/900) | Loss: 2.332 | Acc: 9.950% (3204/32200): : 644it [02:44,  3.77it/s]







Batch Idx: (696/900) | Loss: 2.329 | Acc: 10.169% (3544/34850): : 697it [02:58,  3.59it/s]







Batch Idx: (749/900) | Loss: 2.326 | Acc: 10.376% (3891/37500): : 750it [03:12,  3.84it/s]






Batch Idx: (797/900) | Loss: 2.323 | Acc: 10.544% (4207/39900): : 798it [03:24,  3.87it/s]







Batch Idx: (849/900) | Loss: 2.320 | Acc: 10.708% (4551/42500): : 850it [03:38,  3.90it/s]






Batch Idx: (896/900) | Loss: 2.317 | Acc: 10.899% (4888/44850): : 897it [03:50,  3.85it/s]
Batch Idx: (899/900) | Loss: 2.317 | Acc: 10.909% (4909/45000): : 900it [03:51,  3.71it/s]



Batch Idx: (83/100) | Loss: 2.276 | Acc: 14.667% (616/4200): : 83it [00:07, 12.41it/s]
==> Training...
Epoch: 1 | Val acc: 14.800:   0%|          | 1/200 [03:59<13:15:37, 239.89s/it]95it/s]






Batch Idx: (48/900) | Loss: 2.273 | Acc: 14.286% (350/2450): : 49it [00:12,  3.69it/s]






